"id","favorite count","retweet count","text","created at"
894902543511408640,0,0,"Even tho Im pregnant and the reason I got clean was bc this baby Im honestly so fucking proud of myself like this is what it means to love.","2017-08-08 12:46:07"
892102819146235904,0,0,"Me af https://t.co/ZwncYsiOdc","2017-07-31 19:21:01"
890398291313274881,0,0,"I want some pasta.","2017-07-27 02:27:50"
889612951606353921,1,0,"If we ever dated there is a 95% chance I still have at least one photo of us just because I thought I looked good in it.","2017-07-24 22:27:10"
888985413217550336,0,0,"This is like the first time in a long time I haven't smoked in 3 and a half months. This child better cure cancer.","2017-07-23 04:53:33"
886326331797098497,3,2,"When your boyfriend points to your stretch marks and asks what you did to yourself... no homie you did this. #babybump","2017-07-15 20:47:19"
884994811777961984,0,0,"When you actually start talking to your Co workers and find out everyone is so scandalous and you thought they were innocent","2017-07-12 04:36:20"
884967654913695744,0,0,"She even makes tan lines look hot. https://t.co/8oC30Lw3Co","2017-07-12 02:48:25"
884967142839513088,0,0,"I'm simmering cinnamon on my stove for the smell, can't wait for the disappointment of my boyfriend when he realizes I'm not baking.","2017-07-12 02:46:23"
884502899484655616,0,0,"I'm gonna say yes. https://t.co/27S9LCIAl1","2017-07-10 20:01:39"
884502831184654336,0,0,"To everyone who thinks they still matter to me. Ha https://t.co/7RJA95FJaF","2017-07-10 20:01:22"
884501714535149568,0,0,"Till you get your check https://t.co/qOqpq6otTn","2017-07-10 19:56:56"
884481183249313793,0,0,"Hoodie Allen is my happiness. 💕","2017-07-10 18:35:21"
884411194299338752,0,0,"lol","2017-07-10 13:57:14"
884408737905115136,0,0,"#letmegetadog #endsadness #familyplanning #thisisagoodidea https://t.co/2ccXKPBy8p","2017-07-10 13:47:29"
884403943794765824,0,0,"Honestly my tweets are so much better when I'm sad but it doesn't really matter because I don't have enough followers to appreciate it.","2017-07-10 13:28:26"
884402165082722308,0,0,"This is what happens when you don't let people do what they love. He just wanted to play beautiful music but yall j… https://t.co/H5r151zbOV","2017-07-10 13:21:22"
884401030070448132,0,0,"Me: Being sad is so 2011.
Me this morning: Hello depression https://t.co/tP7sQPp2py","2017-07-10 13:16:51"
884400174981943296,0,0,"How am I supposed to know if he fuck good then? Shit I don't wanna be stuck with someone forever if they can't make… https://t.co/BRtepYyYqc","2017-07-10 13:13:27"
884399946480447489,0,0,"I just coughed and it made me almost throw up. I hate my body.","2017-07-10 13:12:33"
884398580739526657,1,0,"Sibling goals. https://t.co/NLIVTFqvI7","2017-07-10 13:07:07"
884396921741291521,0,0,"Oh yay, I can feel that depression settling in. Making its self right at home. It's been a while old friend.😧","2017-07-10 13:00:32"
882768296151592960,0,0,"I'm supposed to be doing laundry rn.","2017-07-06 01:08:57"
882768021399511040,1,0,"I don't know how my bf deals with living with me, I'm the laziest human ever and all I ever do is blast our AC and make our bill go up.","2017-07-06 01:07:51"
880907543614279680,0,0,"I fucking hate my boyfriend. If someone makes puking sounds around me I will throw up, if you wanna test it ima throw up on you.","2017-06-30 21:54:59"
880842466185949184,0,0,"My boyfriend kinda acts like a toddler sometimes.","2017-06-30 17:36:23"
880146870156263429,0,0,"I have a very lame life for someone my age.","2017-06-28 19:32:20"
880144289900179456,1,0,"Everything is better at night. https://t.co/mDLUv00EQC","2017-06-28 19:22:05"
880143960341176321,0,0,"💜💜💜 https://t.co/VVpydNtUZR","2017-06-28 19:20:47"
879906930537451526,0,0,"My boyfriend is literally sitting on the toilet talking to his best friend on the phone. #friendshipgoals","2017-06-28 03:38:54"
879876657112285184,0,0,"I hate when someone texts me out of the blue and I already know they're going to ask for something....","2017-06-28 01:38:37"
879865957262520320,0,0,"Martha is prettier then most humans I know. Shit Martha is prettier then me. https://t.co/VDVIgofDk7","2017-06-28 00:56:05"
878463539274448896,0,0,"I'm the biggest baby ever I swear.","2017-06-24 04:03:23"
878455081083056128,0,0,"I miss my boyfrienddddd.","2017-06-24 03:29:46"
878453156530843648,0,0,"Makes me really mad when people die, especially suicides and all of a sudden everyone was there bff dont lie you still have right to be sad.","2017-06-24 03:22:08"
878443655853469696,0,0,"Let's just be glad I'm not a depressed little emo kid anymore,,, on the outside. https://t.co/VX5pgiZZ97","2017-06-24 02:44:22"
878436412638588929,0,0,"Not condoning drugs but a while back,I was running late to work and had to walk so I hit my dude up for green and a ride came thru💯","2017-06-24 02:15:35"
